Preguntes,Respostes usuari,Quan encerta,Demana ajuda,Demana solució,Dificultat,Temàtica
"Com és possible llençar una pilota tant fort com puguis, i fer que torni sense xocar amb res i ningú te la pugui tornar?",Llençant-la amunt / llençant-la amunt / Llençant-la cap a amunt / llençant-la cap a amunt / llençant-la cap a amunt / Tirant-la amunt / tirant-la amunt / Tirant-la cap amunt / tirant-la cap amunt / Amunt / amunt,"Molt bé! Si llencem una pilota cap amunt, ens tornarà a nosaltres gràcies a la força de la gravetat.","Que passaria si la llences avall, amunt, cap a la dreta, cap a l’esquerra...?","Si llencem una pilota cap amunt, ens tornarà a nosaltres gràcies a la força de la gravetat.",4,
"Què és negre quan ho compres, vermell quan ho utilitzes i gris quan ho llences?",Carbó / carbó / Carbo / carbo / El carbó / el carbó / El carbo / el carbó,"Molt bé! El carbó abans d’utilitzar-lo és negre, mentre el cremem és vermell i quan ja s’ha gastat les cendres són de color gris.",Pot ser que estiguem pensant en una cosa que es pot cremar?,"El carbó abans d’utilitzar-lo és negre, mentre el cremem és vermell i quan ja s’ha gastat les cendres són de color gris.",5,
"Molts ho han escoltat, però ningú ho ha vist mai, i no  parlarà fins que li parlis. Què és?",L’eco / l'eco / Eco / eco,"Perfecte! L’eco no es pot veure, i no el podrem sentir fins que prèviament es realitzi algun soroll!",En quina situació hi podria haver un so que compleixi aquestes característiques?,"L’eco no es pot veure, i no el podrem sentir fins que prèviament es realitzi algun soroll!",4,
Estic en un lloc on puc estar al nord i al sud al mateix temps. On soc?,L’equador / l’equador / Equador / equador,"Perfecte! Si ets a l’Equador, pots tenir un peu a l’hemisferi nord i l’altre a l’hemisferi sud. ",En quin lloc de la Terra pots tenir un peu a l’hemisferi nord i l’altre a l’hemisferi sud?,"Si ets a l’Equador, pots tenir un peu a l’hemisferi nord i l’altre a l’hemisferi sud.",3,
"Si dius el meu nom, desaparec. Qui soc?",El silenci / el silenci / Silenci / silenci,"Enhorabona! Quan diem qualsevol cosa, és el silenci qui desapareix.",Què desapareix cada vegada que dius alguna cosa?,"Quan diem qualsevol cosa, és el silenci qui desapareix.",3,
Bec amb els peus. Qui soc?,Un arbre / un arbre / Els arbres / els arbres / Arbre / arbre / Arbres / arbres,"Molt bé! Els arbres absorbeixen l’aigua a través de les arrels, al peu de la seva soca.",Qui agafa l’aigua per la part inferior del seu cos?,"Els arbres absorbeixen l’aigua a través de les arrels, al peu de la seva soca.",3,
"Jo, o ell, dit al revés; t’acabo de dir qui es.",El lleó / el lleó / El lleo / el lleo / Lleó / Lleo / lleó / lleo,Molt bé! Si llegim “o ell” de darrere cap a davant podem veure que diu: lleo. El lleó és l’animal que s’amaga en aquesta endevinalla.,Has buscat si en la pròpia frase hi ha algú amagat? Proba de llegir-la de darrere cap a davant.,Si llegim “o ell” de darrere cap a davant podem veure que diu: lleo. El lleó és l’animal que s’amaga en aquesta endevinalla.,3,
"Navego per l’oceà, com si fos un transatlàntic. Porto al cap un sortidor, i m’empaiten amb l’arpó.",La balena / la balena / Balena / balena / Una balena / una balena,"Perfecte! Les balenes són als animals més grans que naveguen pels oceans. I malauradament, encara hi ha qui les caça amb arpons.",Hi ha algun animal que s’ajusti a la descripció?,"Les balenes són als animals més grans que naveguen pels oceans. I malauradament, encara hi ha qui les caça amb arpons.",2,
"Porto un bel sobre d’un altre, de seda de la més fina; qui em vol descobrir ho paga, plorant a llàgrima viva.",La ceba / la ceba / Una ceba / una ceba / Ceba /ceba,"Enhorabona! Les cebes estan formades per moltes capes o vels. I si els la traiem, ens posarem a plorar.","Hi ha algun aliment que tingui moltes capes, i ens pugui fer plorar?","Les cebes estan formades per moltes capes o vels. I si els la traiem, ens posarem a plorar.",3,
"Petita boleta sobre fulles verdes, vestida de vermell i amb taques negres. Qui soc?",Marieta / marieta / Una marieta / una marieta / La marieta / la marieta,Fantàstic! La marieta és un insecte vermell i amb taques negres. Moltes vegades la podem trobar prenent el sol sobre les fulles.,Coneixes algun insecte amb aquests colors?,La marieta és un insecte vermell i amb taques negres. Moltes vegades la podem trobar prenent el sol sobre les fulles.,1,
"Urpa potent, bon rugit i una llarga cabellera: sempre han dit que sóc, el rei de la selva. Qui soc?",Lleó / Lleo / lleó / lleo / Un lleó / Un lleo / un lleó / un lleo / El lleó / El lleo / El lleó / el lleo,"Felicitats! El lleó té unes grans urpes i ullals que li permeten caçar les seves preses, té un rugit esferaidor i una cabellera com molts desitjarien. Heu trobat, al rei de la selva!",És el protagonista en una de les pel·lícules més famoses de Disney.,"El lleó té unes grans urpes i ullals que li permeten caçar les seves preses, té un rugit esferaidor i una cabellera com molts desitjarien. ",1,
"Amb les potes llargues i la roba negra, les nits d’estiu amb el seu cant alegra. Qui és?",El grill / el grill / Grill / grill / Un grill / un grill,"Enhorabona! Els grills tenen unes cames ben llargues que utilitzen per saltar, i quan més sentim les seves melodies són en les caloroses nits d’estiu.","Salta molt, i té un cant repetitiu","Els grills tenen unes cames ben llargues que utilitzen per saltar, i quan més sentim les seves melodies són en les caloroses nits d’estiu.",3,
"Potes esveltes, coll llarg i fa casa seva dalt del campanar. Qui és?",La cigonya / la cigonya / Cigonya / cigonya / Una cigonya / una cigonya,"Enhorabona! Les cigonyes tenen les potes llargues i primes, igual que el coll. I depèn d’on visquis, podràs veure els seus nius dalt dels campanars.","Els seus colors semblen els d’un pingüins, pero elles poden volar.","Les cigonyes tenen les potes llargues i primes, igual que el coll. I depèn d’on visquis, podràs veure els seus nius dalt dels campanars.",2,
